id,created_at,user_name,text,lang
1399455512673013762,2021-05-31 19:59:29+00:00,Gavin Dickerson,@JealousJimmy @PS5only Without the purse of Microsoft to keep it afloat ..Xbox would be DOA,en
1399455351951564806,2021-05-31 19:58:51+00:00,UWPX,"[June 2021] Bug Fixes
Alpha 32 (v.0.32.0.0) of @UWPX_APP has been released and should be available soon on the MS S… https://t.co/oplvebGm0M",en
1399455104416296960,2021-05-31 19:57:52+00:00,Ronald,"De esto estaba hablando en mi tweet anterior. 👇

'Skype Translate demo at Microsoft's Worldwide Partner Conference… https://t.co/j92VB6Nj3Q",en
1399455070241107968,2021-05-31 19:57:44+00:00,Marximum Carnage,@raphaelmichael_ @AlexFon25 @tomwarren They’re still bangers for Sony that have been received well and sell well. E… https://t.co/agqvXNSr1k,en
1399455054713794571,2021-05-31 19:57:40+00:00,QuantumChoices 3.5% #FBPE 💙,"@sadcafe69 @jodown12 @Chicot57230736 @DanStevens1103 @Blueflutterby3 @POCX100 @Sc0ttJenkins Yes, now I've had both… https://t.co/nExGF6B9kG",en
1399455031200473105,2021-05-31 19:57:34+00:00,Devon Izzo,"@x_Stretch_x @OHsnapGame @IGN A: There’s no proof that states ES6 will be Xbox/PC Exclusive, only rumors

B: The ga… https://t.co/TKGwxWXrLd",en
1399454890552967171,2021-05-31 19:57:01+00:00,Charly Sproule,"RT @JamesTurnerYT: Ooooh!!! Microsoft Store is at it again with ANOTHER leak. This time for Two Point Campus, a new game!! https://t.co/2Bo…",en
1399454415669637131,2021-05-31 19:55:07+00:00,jake,being in iowa is just like being stuck inside the one microsoft background forever,en
1399454280034111489,2021-05-31 19:54:35+00:00,CryptoGator.co | Crypto and Forex News Aggregator,"RT @eBargainsToday: As Microsoft Azure closes shop, ConsenSys Quorum opens up to new users: Could the migration from Microsoft’s Azure Bloc…",en
1399454233368219648,2021-05-31 19:54:24+00:00,Jhous10,@GarrettEAtkins I'm very excited to see if there's a gaming studio Microsoft would acquire.,en
1399454131941634048,2021-05-31 19:54:00+00:00,DualSenseDude,"RT @IdleSloth84: (Rumor) People are leaving Bethesda because Microsoft is changing the culture there quite quickly, according to Tyler McVi…",en
1399454120856129539,2021-05-31 19:53:57+00:00,Elias|🎮 Breath of Fire or Bust!,@JasonArriola @OmegaManZX @ROWYCOPodcast @itoken0705 @SquareEnix @Android @Windows @Microsoft @Nintendo @WinterDisa… https://t.co/acVHECf6QB,en
1399454108457660419,2021-05-31 19:53:54+00:00,Eko Prasetyo,"RT @NiceHashMining: Cryptocurrencies and mining should be user friendly and encouraging, not scary and complicated. This is why we are runn…",en
1399454051968901126,2021-05-31 19:53:41+00:00,Midean Alhaj Ali,RT @Chillaxxxing: Bought a laptop with @Windows suddenly been trying blue screen the few days when logging in asking me to change browser s…,en
1399454051943780353,2021-05-31 19:53:41+00:00,Midean Alhaj Ali,RT @Chillaxxxing: Bought a laptop with @Windows suddenly been trying blue screen the few days when logging in asking me to change browser s…,en
1399453714512027652,2021-05-31 19:52:20+00:00,Jeremy Sinclair,"RT @SharePoint: Bring your Microsoft Viva questions to this AMA on June 23, at 9:00 AM PT. Members of the Viva team will be on hand to resp…",en
1399453496777265165,2021-05-31 19:51:28+00:00,Ayoko. A,how can gamedevs be leaving Microsoft en masse? when its not Google 😬,en
1399453011630387201,2021-05-31 19:49:33+00:00,Ceejae Devine,"Like, I'm on a scroll. 
(Love, love, love @Microsoft Word tables.) 

#research #ComparativeAnalysis",en
1399452817534853120,2021-05-31 19:48:46+00:00,mix,"RT @NiceHashMining: Cryptocurrencies and mining should be user friendly and encouraging, not scary and complicated. This is why we are runn…",en
1399452806629707776,2021-05-31 19:48:44+00:00,Stephen Totilo,CDPR SVP of business development Michał Nowakowski declines to divulge details of talks with Sony and Microsoft ove… https://t.co/dI4JkNNUD7,en
